metric,measurement,timestep,episode,model,env
moving_rewards,31.60613326936768,50,15,RainbowDQNAgent,
episode_rewards,44.84404779352231,50,16,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 0.5870396796777115, 1.0, 1.0, 1.0, 0.5914849575872523, 1.0, 1.0, 0.6547705714535198, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5769833111365188, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6337692736673063, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2]",50,16,RainbowDQNAgent,
moving_rewards,32.38483412372972,50,16,RainbowDQNAgent,
episode_rewards,39.54174682761155,50,17,RainbowDQNAgent,
timestep_rewards,"[0.2, 1.0, 0.23023191556666517, 1.0, 0.4783278751423893, 1.0, 0.6685410710854285, 1.0, 0.2, 0.9646459658170585, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2]",50,17,RainbowDQNAgent,
moving_rewards,32.78244038505649,50,17,RainbowDQNAgent,
episode_rewards,14.62359023997109,50,18,RainbowDQNAgent,
timestep_rewards,"[1.0, 0.2, 0.7742041318241079, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3063365770176958, 0.2, 0.2, 0.2, 0.5446431587457908, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.7538835963698816, 0.2, 0.8445227760136248, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,18,RainbowDQNAgent,
moving_rewards,31.826711430051994,50,18,RainbowDQNAgent,
episode_rewards,16.399999999999984,50,19,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,19,RainbowDQNAgent,
moving_rewards,31.055375858549393,50,19,RainbowDQNAgent,
episode_rewards,16.53438847785364,50,20,RainbowDQNAgent,
timestep_rewards,"[0.5084185647766674, 0.4766096055862363, 0.6609514940045103, 0.6747108734012777, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5646401331752259, 0.2, 0.2, 0.2, 0.2, 0.5646401331752259, 0.5646401331752259, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.5551374073840549, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5646401331752259, 0.2]",50,20,RainbowDQNAgent,
moving_rewards,30.363900268992456,50,20,RainbowDQNAgent,
episode_rewards,24.39999999999999,50,21,RainbowDQNAgent,
timestep_rewards,"[0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2]",50,21,RainbowDQNAgent,
moving_rewards,30.09281389312916,50,21,RainbowDQNAgent,
episode_rewards,19.079658169754186,50,22,RainbowDQNAgent,
